Id,Supplier,Recipient,No. ordered,No. ordered data uncertain,Designation,Description,Status,Status data uncertain,Year of order,Year of order data uncertain,Year(s) of deliveries,No. delivered,Year(s) of delivery or no. delivered data uncertain,Recipient Involvement,Comment
29506,Ukraine,China,4,,Zubr/Pomornik,ACV/landing craft,New,,2009,,2013 - 2013,1,,Yes,$315-319 m deal; incl 2 produced in China; Project-958 Bizon version; delivery probably by 2015
206,Ukraine,Egypt,200,,OT-62,IFV,New,Yes,2009,Yes,2011 - 2013,53,Yes,Yes,Egyptian OT-62 APC rebuilt to IFV; possibly incl some mortar carrier version; delivery probably 2011-2016
34516,Ukraine,Egypt,2000,,R-2,Anti-tank missile,New,,2009,Yes,2011 - 2013,550,Yes,,For modernized OT-62 IFV
1262,Ukraine,Estonia,2,,L-39C Albatros,Trainer aircraft,SecondHand,,2013,,2013 - 2013,2,,,Ex-Ukrainian; leased via Latvian company
3296,Ukraine,Ethiopia,128,Yes,T-72B,Tank,Refurbished,,2011,,2012 - 2013,128,Yes,,Second-hand but modernized to T-72UA1 or T-72E1; $100 m deal
12437,Ukraine,Ethiopia,1250,Yes,Combat,Anti-tank missile,New,,2011,,2012 - 2013,1250,Yes,,For T-72 tanks; designation uncertain (reported as guided shell)
28555,Ukraine,India,6,,DS-71,Gas turbine,New,,2006,,2012 - 2013,6,,,Part of probably $30 m deal; for 3 Talwar frigates from Russia
7889,Ukraine,India,6,,DT-59,Gas turbine,New,,2006,,2012 - 2013,6,,,Part of probably $30 m deal; for 3 Talwar frigates from Russia
1310,Ukraine,India,100,,AI-20,Turboprop,New,,2009,,2011 - 2013,60,Yes,,AI-20D-5M version; for modernization of An-32 transport aircraft to An-32RE
23986,Ukraine,India,500,Yes,R-27/AA-10 Alamo,BVRAAM,New,,2012,,2013 - 2013,250,Yes,,$246 m deal
12404,Ukraine,Kazakhstan,2,,An-74/Coaler-B,Transport aircraft,New,Yes,2012,,2013 - 2013,2,Yes,,An-74TK-200 version
9862,Ukraine,Mozambique,2,Yes,An-26/Curl,Transport aircraft,SecondHand,,2013,,2013 - 2013,2,Yes,,Second-hand; An-26B-100 version
36232,Ukraine,Myanmar,50,Yes,AI-25,Turbofan,New,,2009,,2011 - 2013,50,Yes,,For 50 K-8 trainer/combat aircraft from China; possibly WS-11 version from Chinese production line
294,Ukraine,Niger,2,Yes,Su-25/Frogfoot-A,Ground attack ac,SecondHand,Yes,2012,,2013 - 2013,2,,,Second-hand
37280,Ukraine,Nigeria,4,Yes,BTR-3,APC,New,,2012,Yes,2013 - 2013,4,Yes,,BTR-3E version; for police
27665,Ukraine,Pakistan,315,,6TD,Diesel engine,New,,2002,,2004 - 2013,315,Yes,,$150 m deal; for MBT-2000 (Type-90-2 or Al Khalid) tanks from China
27669,Ukraine,Pakistan,110,,6TD,Diesel engine,New,,2013,,2013 - 2013,30,Yes,,$50 m deal; probably for MBT-2000 (Type-90-2 or Al Khalid) tanks from China
19392,Ukraine,Russia,19,,An-140,Transport aircraft,New,,2011,,2012 - 2013,13,Yes,Yes,An-140-100 version
30920,Ukraine,Russia,15,,An-148,Transport aircraft,New,,2013,,2013 - 2013,1,,Yes,RUB18 b deal; An-148-100E version; delivery 2013-2017
36187,Ukraine,Russia,264,Yes,AI-222,Turbofan,New,,2006,,2009 - 2013,84,Yes,Yes,For 132 Yak-130 trainer/combat aircraft produced in Russia 2009-2017
15575,Ukraine,Rwanda,5,Yes,BAU-32x2,IFV turret,New,,2012,Yes,2013 - 2013,5,Yes,,For Ratel-23 IFV from unknown supplier
22719,Ukraine,Thailand,121,,BTR-3U Guardian,IFV,New,,2011,,2012 - 2013,51,Yes,,$170 m deal; BTR-3E1 version; incl command post and ARV versions; delivery 2012-2015
34520,Ukraine,Thailand,1500,Yes,R-2,Anti-tank missile,New,,2011,Yes,2012 - 2013,500,Yes,,For BTR-3E IFV
2557,Ukraine,Venezuela,4,,DSL-5612,Landing craft,New,,2009,,2012 - 2013,4,Yes,,From Cuban production line
9157,Ukraine,Viet Nam,4,,Kolchuga,Air search system,New,,2009,Yes,2012 - 2013,4,Yes,,$54 m deal
13772,United Arab Emirates,Jordan,6,,AT-802U,Ground attack ac,New,Yes,2013,,2013 - 2013,6,Yes,,Ex-UAE (but maximum 2-3 years old); aid; delivered without armament
19779,United Arab Emirates,Pakistan,2,,Hawker-4000,Light transport ac,SecondHand,Yes,2011,Yes,2013 - 2013,2,Yes,,Probably second-hand; possibly for SIGINT
4854,United Kingdom,Australia,19,,UFH/M-777 155mm,Towed gun,New,,2012,,2013 - 2013,9,Yes,,$70 m deal; ordered via USA; from US production line; M-777A2 version; delivery 2013-2014
30021,United Kingdom,Brazil,3,,VT-90,OPV,New,,2011,,2012 - 2013,3,,,GBP133 m (USD208 m) deal (originally produced for Trinidad and Tobago but cancelled 2010)
8835,United Kingdom,China,,,Spey,Turbofan,New,Yes,1975,Yes,1998 - 2013,250,Yes,Yes,For JH-7 combat aircraft produced in China
34194,United Kingdom,India,57,,Hawk-100,Trainer/combat ac,New,,2010,,2013 - 2013,10,Yes,Yes,GBP700-735 m ($1.1 b) deal; Hawk-132 version; delivery 2013-2015
19597,United Kingdom,Oman,3,,Al Shamikh,Frigate,New,,2007,,2013 - 2013,2,,,$700 m 'Khareef' programme; delivery 2013-2014
4131,United Kingdom,Poland,2,,AS-90M turret,Self-propelled gun turret,New,,1999,,2013 - 2013,2,Yes,,For 2 Krab self-propelled guns produced in Poland
4132,United Kingdom,Poland,70,Yes,AS-90M turret,Self-propelled gun turret,New,,2008,,2013 - 2013,6,Yes,Yes,For 70 Krab self-propelled guns produced in Poland
36731,United Kingdom,Saudi Arabia,72,,Typhoon,FGA aircraft,New,,2007,,2009 - 2013,34,,,GBP4.4 b deal (part of up to GBP20 b 'Project Salam'); Typhoon F-2 (Typhoon Tranche-2) version
18196,United Kingdom,Saudi Arabia,1000,Yes,Brimstone,ASM,New,,2008,Yes,2011 - 2013,560,Yes,,For Tornado combat aircraft
5816,United Kingdom,Saudi Arabia,350,Yes,Storm Shadow/SCALP,ASM,New,,2009,Yes,2011 - 2013,350,Yes,,For modernized Tornado combat aircraft
30791,United Kingdom,Somalia,25,Yes,AT-105 Saxon,APC,SecondHand,,2012,Yes,2013 - 2013,25,Yes,,Ex-UK; aid; Saxon Patrol version; delivered via Djibouti
36430,United Kingdom,Thailand,80,Yes,Starstreak,Portable SAM,New,,2012,,2013 - 2013,80,Yes,,THB378 m deal (incl 8 launchers)
37892,United Kingdom,Thailand,1,,BVT-90,OPV,New,,2009,,2013 - 2013,1,,Yes,THB3 b (USD85 m) deal; Thai designation Krabi
19433,United Kingdom,United Arab Emirates,6,,Trent,Turbofan,New,,2008,,2013 - 2013,6,,,For 3 A-330 MRTT tanker/transport aircraft from Spain; Trent-772B version
15847,United Kingdom,United Arab Emirates,3,,Air refuel system,Air refuel system,New,,2008,,2013 - 2013,3,,,For 3 A-330 MRTT tanker/transport aircraft from Spain
4847,United Kingdom,United States,1026,Yes,UFH/M-777 155mm,Towed gun,New,,2000,Yes,2002 - 2013,1026,Yes,Yes,US designation M-777
8971,United Kingdom,United States,275,Yes,L-118 105mm,Towed gun,New,,2005,Yes,2006 - 2013,275,Yes,Yes,L-119 version; US designation M-119
198,United States,Afghanistan,4,,C-130H Hercules,Transport aircraft,SecondHand,,2012,Yes,2013 - 2013,2,,,Second-hand; aid; delivery 2013-2014
38099,United States,Afghanistan,200,,ASV-150/M-1117,APC,New,,2012,,2012 - 2013,150,Yes,,$79 m deal; delivery probably by 2014
19578,United States,Afghanistan,4002,,HMMWV Up-Armoured,APV,New,,2010,,2011 - 2013,4002,Yes,,Part of $1 b deal; M-1152A1B2 version; incl for police; delivery by 2014
14804,United States,Angola,6,,Cessna-172/T-41,Trainer/light ac,New,,2012,Yes,2013 - 2013,6,,,
18019,United States,Argentina,36,Yes,Bell-205/UH-1 Huey-2,Helicopter,New,Yes,2006,Yes,2009 - 2013,34,Yes,,Argentinian UH-1H rebuilt to Huey-2; assembled in Argentina (possibly incl production of components in Argentina)
13944,United States,Argentina,1,,Bell-412,Helicopter,New,,2011,Yes,2013 - 2013,1,,,Bell-412EP version; from Canadian production line
17975,United States,Argentina,40,Yes,TFE-731,Turbofan,New,,2005,Yes,2012 - 2013,9,Yes,,For 40 AT-63 (Phase-3) trainer/combat aircraft produced in Argentina (incl modernization of AT-63); TFE-731-40R version
36849,United States,Australia,24,,MH-60R Seahawk,ASW helicopter,New,,2011,,2013 - 2013,2,,,AUD2.6 b ($2.5 b) 'Project Air-9000 Phase-8' ($1.5 b offsets); delivery 2013-2016
27068,United States,Australia,10,Yes,RQ-7 Shadow-200,UAV,New,,2012,,2013 - 2013,5,Yes,,$40 m deal
14264,United States,Australia,260,Yes,AGM-158A JASSM,ASM,New,,2006,Yes,2011 - 2013,260,Yes,,AUD350-450 m ($270-350 m) 'Project Air-5418'; for F/A-18 combat aircraft
23405,United States,Australia,200,Yes,Mk-54 MAKO,ASW torpedo,New,,2012,,2013 - 2013,10,Yes,,For MH-60R helicopters
24203,United States,Australia,600,Yes,RIM-162 ESSM,SAM,New,,2002,,2003 - 2013,330,Yes,Yes,For MEKO-200 (Anzac) and modernized Perry (Adelaide) frigates; incl production of components in Australia (as part of NATO Sea Sparrow Consortium)
18086,United States,Australia,175,Yes,Standard Missile-2MR,SAM,New,,2005,Yes,2008 - 2013,175,Yes,,'Project Sea 1390-4B'; SM-2 Block-3A version; for modernized Perry (Adelaide) frigates
35957,United States,Bahrain,25,,AIM-120C AMRAAM,BVRAAM,New,,2010,Yes,2013 - 2013,10,Yes,,AIM-120C-7 version
26230,United States,Bahrain,30,Yes,MGM-140B ATACMS,SSM,New,,2011,,2013 - 2013,30,Yes,,$70 m deal; ATACMS Block-1A version
23778,United States,Bangladesh,4,,TPE-331,Turboprop,New,,2011,,2013 - 2013,4,,,For 2 Do-228 MP aircraft from Germany
8996,United States,Bangladesh,1,,Hamilton,OPV,SecondHand,,2013,,2013 - 2013,1,,,Second-hand; aid (Bangladesh pays $8.8 m for overhaul and training); Bangladeshi designation Somudra Joy
38143,United States,Bolivia,2,,Foxtrot-4,Light aircraft,New,,2012,Yes,2013 - 2013,2,,,For training; assembled from kits in Bolivia
38142,United States,Bolivia,1,Yes,Tango-2,Light aircraft,New,,2012,Yes,2013 - 2013,1,,,Assembled from kit in Bolivia
31725,United States,Brazil,9,,P-3A Orion,ASW aircraft,SecondHand,,2002,,2011 - 2013,7,Yes,,Second-hand; $10 m deal (part of $425 m 'P-X' programme incl modernization of 8 in Spain to P-3AM); incl 1 for training (not incl 3 more for spares only); delivery 2011-2014
29205,United States,Brazil,4,,S-70B/SH-60B Seahawk,ASW helicopter,New,,2009,,2012 - 2013,4,Yes,,$164 m deal; Brazilian designation MH-16
4979,United States,Brazil,30,,C-7,Diesel engine,New,,2008,,2013 - 2013,15,Yes,,For modernization of 30 M-113A1 to M-113MB1
37628,United States,Brazil,18,Yes,C-9,Diesel engine,New,,2008,,2010 - 2013,14,Yes,,For 18 Piranha-3 APC from Switzerland
17851,United States,Brazil,150,Yes,6V-53,Diesel engine,New,,2010,Yes,2013 - 2013,2,Yes,,For modernization of 150 M-113B to M-113BR (M-113A2 Mk-1)
38075,United States,Brunei Darussalam,12,,S-70/UH-60L,Helicopter,New,,2011,,2013 - 2013,4,,,S-70i version; from Polish production line; delivery 2013-2015
7120,United States,Cameroon,2,Yes,CT-7,Turboprop,New,,2012,,2013 - 2013,2,,,For 1 CN-235 transport aircraft from Spain
34931,United States,Canada,15,,CH-47F Chinook,Helicopter,New,,2009,,2013 - 2013,7,Yes,,CAD1.4 b ($1.4 b) deal (offsets 100%); delivery 2013-2014
33598,United States,Canada,1350,Yes,Paveway,Guided bomb,New,,2011,,2012 - 2013,1000,Yes,,
9128,United States,Chad,4,,AE-2100,Turboprop,New,,2012,,2013 - 2013,2,Yes,,For 2 C-27J transport aircraft from Italy
37308,United States,Chile,3,,SR-22,Light aircraft,New,,2012,Yes,2013 - 2013,3,,,
17597,United States,Chile,6,,T-35 Pillan,Trainer aircraft,New,,2011,Yes,2013 - 2013,6,Yes,Yes,
35958,United States,Chile,100,Yes,AIM-120C AMRAAM,BVRAAM,New,,2010,Yes,2013 - 2013,25,Yes,,AIM-120C-7 version
35136,United States,Chile,6,,AN/MPQ-64,Air search radar,New,,2011,,2013 - 2013,2,Yes,,
18031,United States,Colombia,12,,Bell-205/UH-1 Huey-2,Helicopter,New,Yes,2011,,2013 - 2013,1,Yes,,Ex-US UH-1H rebuilt to UH-1H-2
13950,United States,Colombia,4,,Bell-412,Helicopter,New,,2012,,2013 - 2013,2,,,From Canadian production line; delivery probably 2013-2014
38078,United States,Colombia,5,,S-70/UH-60L,Helicopter,New,,2012,,2013 - 2013,5,,,$87 m deal; S-70i version; from Polish production line
38088,United States,Colombia,2,,S-70/UH-60L,Helicopter,New,,2013,,2013 - 2013,2,,,S-70i version; from Polish production line
27373,United States,Colombia,25,,Legacy,Light aircraft,New,,2009,,2010 - 2013,25,Yes,,$6.5-10 m deal; Synergy-FG or Legacy-FG version; assembled in Colombia; for training; Colombian designation T-90 Calima
24671,United States,Colombia,20,,Bell-206/OH-58,Light helicopter,SecondHand,,2009,Yes,2010 - 2013,20,Yes,,Ex-US; 'Plan Colombia' aid; OH-58A version
24682,United States,Colombia,11,Yes,Bell-206/OH-58,Light helicopter,SecondHand,,2012,Yes,2013 - 2013,4,Yes,,Second-hand; aid; OH-58A version; for training
36169,United States,Colombia,1,Yes,Cessna-208 Caravan,Light transport ac,New,,2012,Yes,2013 - 2013,1,Yes,,Grand Caravan-EX version
36174,United States,Colombia,2,,Cessna-208 Caravan,Light transport ac,New,Yes,2012,Yes,2013 - 2013,2,,,Possibly ex-US; Cessna-208B version
29361,United States,Colombia,2,,Boeing-737 Classic,Transport aircraft,SecondHand,,2012,,2013 - 2013,2,Yes,,Second-hand; Boeing-737-300F version
22563,United States,Colombia,6,,ScanEagle,UAV,New,,2013,Yes,2013 - 2013,6,,,Aid
33604,United States,Colombia,80,Yes,Paveway,Guided bomb,New,,2011,,2013 - 2013,80,Yes,,Paveway-2 version
13760,United States,Egypt,20,,F-16C Block-50/52,FGA aircraft,New,,2010,,2013 - 2013,8,,,Part of $3.2 b 'Peace Vector-7' deal; F-16C Block-52 version; incl 4 F-16D
29780,United States,Egypt,125,,M-1A1 Abrams,Tank,New,,2008,,2009 - 2013,125,Yes,Yes,
33966,United States,Egypt,139,,RIM-116A RAM,SAM,New,,2005,,2013 - 2013,35,Yes,,Part of $25 m deal; for Ambassador-4 corvettes; RIM-116B Block-1A version
36116,United States,Egypt,1,,DB-110,Aircraft recce system,New,,2010,,2013 - 2013,1,Yes,,$11 m deal; for use on F-16C Block-52 combat aircraft
1313,United States,Egypt,3,,Ambassador-4,Corvette,New,,2006,,2013 - 2013,1,Yes,,$1 b deal
35930,United States,Finland,300,Yes,AIM-120C AMRAAM,BVRAAM,New,,2008,,2013 - 2013,50,Yes,,$435 m deal; AIM-120C-7 version
35135,United States,Finland,12,,AN/MPQ-64,Air search radar,New,,2009,,2013 - 2013,2,Yes,,For NASAMS-2 SAM systems from Norway
14562,United States,Finland,1,,SIGINT system,SIGINT system,New,,2010,,2013 - 2013,1,,,$100 m deal; for modification of 1 C-295 transport aircraft
36103,United States,France,12,,MQ-9 Reaper,UAV/UCAV,New,,2013,,2013 - 2013,2,,,Delivery 2013-2019
17516,United States,France,53,Yes,Cummins-6V,Diesel engine,New,,2009,,2011 - 2013,53,Yes,,For 53 BvS-10 APC from Sweden
23905,United States,France,230,Yes,AGM-114K HELLFIRE,Anti-tank missile,New,,2007,,2011 - 2013,230,Yes,,For EC-665 combat helicopter
33569,United States,France,1000,Yes,Paveway,Guided bomb,New,,2008,,2010 - 2013,700,Yes,,$22 m deal; Paveway-2 and Enhanced Paveway-2 versions; delivery 2010-2015
37190,United States,France,1020,Yes,GMLRS,Guided rocket,New,,2007,Yes,2010 - 2013,815,Yes,Yes,Incl production of components in France; 12.5% of development financed by France; for use with MLRS MRL
10371,United States,Germany,1,,RQ-4A Global Hawk,UAV,New,,2007,,2013 - 2013,1,Yes,Yes,For SIGINT; RQ-4E Euro Hawk version (with German sensors); originally 5 ordered but 4 cancelled 2013
37189,United States,Germany,1890,Yes,GMLRS,Guided rocket,New,,2007,Yes,2010 - 2013,1350,Yes,Yes,Incl production of components in FRG; 12.5% of development financed by FRG; for use with MLRS MRL
24211,United States,Germany,275,Yes,RIM-162 ESSM,SAM,New,,2002,Yes,2004 - 2013,275,Yes,Yes,For Sachsen (F-124/Type-124) frigates; incl production of components in FRG
24210,United States,Greece,100,Yes,RIM-162 ESSM,SAM,New,,2005,,2008 - 2013,100,Yes,,For modernized MEKO-200 (Hydra) frigates
36726,United States,Hungary,12,,MaxxPro,APC,SecondHand,,2013,,2013 - 2013,12,,,Second-hand
37215,United States,India,8,,P-8A Poseidon,ASW aircraft,New,,2008,Yes,2012 - 2013,3,,Yes,$2 b deal (offsets 30% incl production of components in India); P-8I version; delivery 2012-2015
6819,United States,India,10,,C-17A Globemaster-3,Heavy transport ac,New,,2011,,2013 - 2013,5,,,$4.1 b deal (offsets $1.1 b); delivery 2013-2014
18175,United States,India,20,Yes,RGM-84L Harpoon-2,Anti-ship MI/SSM,New,,2010,,2013 - 2013,12,Yes,,$170 m deal; AGM-84L version
18180,United States,India,21,Yes,RGM-84L Harpoon-2,Anti-ship MI/SSM,New,,2012,,2013 - 2013,5,Yes,,AGM-84L version; for use on P-8I ASW aircraft
23406,United States,India,32,Yes,Mk-54 MAKO,ASW torpedo,New,,2011,Yes,2013 - 2013,10,Yes,,$86 m deal; for use on P-8I ASW aircraft
33683,United States,India,512,,CBU-97 SFW,Guided bomb,New,,2010,,2013 - 2013,50,Yes,,$258 m deal; CBU-105 version
13934,United States,Indonesia,25,Yes,Bell-412,Helicopter,New,,2010,,2012 - 2013,9,Yes,,Bell-412EP version; delivery 2012-2014
27147,United States,Indonesia,16,Yes,F404,Turbofan,New,,2011,,2013 - 2013,16,Yes,,For 16 T-50 trainer/combat aircraft from South Korea
7087,United States,Indonesia,76,Yes,CT-7,Turboprop,New,,1990,Yes,1993 - 2013,48,Yes,,For 38 CN-235 transport and CN-235MPA MP aircraft produced in Indonesia; CT-7-9C3 version
34284,United States,Iraq,8,,Avenger,Mobile SAM system,New,,2012,Yes,2013 - 2013,3,Yes,,Part of $105 m deal; 'ISFF' aid
27682,United States,Iraq,24,,Bell-407,Light helicopter,New,,2009,,2012 - 2013,24,,,$60 m deal; armed version; option on 26 more
16871,United States,Iraq,6,,C-130J-30 Hercules,Transport aircraft,New,,2009,,2012 - 2013,6,,,$293 m deal
38095,United States,Iraq,80,,ASV-150/M-1117,APC,New,,2010,,2011 - 2013,80,Yes,,$85 m deal; incl 8 command post version
5338,United States,Iraq,120,,M-198 155mm,Towed gun,SecondHand,,2010,,2011 - 2013,120,Yes,,Second-hand; aid
21167,United States,Iraq,200,Yes,AGM-114L HELLFIRE,Anti-tank missile,New,,2008,,2012 - 2013,200,Yes,,For Bell-407 helicopters
21173,United States,Iraq,175,Yes,AGM-114L HELLFIRE,Anti-tank missile,New,,2013,Yes,2013 - 2013,75,,,
834,United States,Iraq,1,,AN/TPS-77,Air search radar,New,,2011,,2013 - 2013,1,Yes,,$26 m deal; designation uncertain
35138,United States,Iraq,13,Yes,AN/MPQ-64,Air search radar,New,,2013,Yes,2013 - 2013,1,Yes,,
34216,United States,Israel,3,,C-130J Hercules,Transport aircraft,New,,2010,,2013 - 2013,1,Yes,,$250 m deal; Israeli designation Samson; delivery 2013-2014
22557,United States,Italy,10,Yes,ScanEagle,UAV,New,,2011,Yes,2013 - 2013,10,Yes,,
976,United States,Italy,14,Yes,LM-2500,Gas turbine,New,,2000,Yes,2008 - 2013,9,,Yes,"For 1 Cavour aircraft carrier, 2 Doria (Horizon) destroyers and 10 Bergamini (FREMM) frigates produced in Italy"
12611,United States,Italy,12,Yes,F-124,Turbofan,New,,2009,,2011 - 2013,6,Yes,,For 6 M-346 trainer aircraft produced in Italy
37188,United States,Italy,864,Yes,GMLRS,Guided rocket,New,,2012,,2013 - 2013,50,Yes,Yes,For use with MLRS MRL; incl production of components in Italy; 12.5% of development financed by Italy; delivery from 2013
29208,United States,Japan,64,Yes,S-70B/SH-60B Seahawk,ASW helicopter,New,,1997,,2002 - 2013,47,Yes,Yes,SH-60K version
35849,United States,Japan,13,Yes,AH-64D Apache,Combat helicopter,New,,2001,,2006 - 2013,12,Yes,Yes,'AH-X' programme; AH-64DJP version; most assembled in Japan; original plan for up to 62 reduced to 13 for financial reasons
10079,United States,Japan,92,Yes,CH-47D Chinook,Helicopter,New,,1984,,1986 - 2013,85,Yes,Yes,CH-47J and CH-47JA version; incl 85 produced in Japan
37986,United States,Japan,67,Yes,S-70/UH-60L,Helicopter,New,,1988,,1990 - 2013,67,Yes,Yes,UH-60J (S-70A-12) version
37173,United States,Japan,28,,TH-28/480,Light helicopter,New,,2012,,2012 - 2013,18,Yes,,Enstom-480B version; Japanese designation TH-480B; for training; delivery 2012-2014
22552,United States,Japan,2,Yes,ScanEagle,UAV,New,,2012,,2013 - 2013,2,Yes,,
17659,United States,Japan,80,Yes,AN/APG-63,Combat ac radar,New,,2004,Yes,2007 - 2013,60,Yes,Yes,For modernization of F-15J combat aircraft; AN/APG-63(V)1 version
32318,United States,Japan,13,Yes,AN/APG-78 Longbow,Combat heli radar,New,,2001,,2006 - 2013,12,Yes,,For AH-64D (AH-64DJP) combat helicopters
17839,United States,Jordan,1000,Yes,6V-53,Diesel engine,New,,2005,Yes,2005 - 2013,776,Yes,,For modernization of about 1000 M-113 APC to M-113A2 Mk-1J
35956,United States,Jordan,85,Yes,AIM-120C AMRAAM,BVRAAM,New,,2009,,2013 - 2013,25,Yes,,Possibly $131 m deal; AIM-120C-7 version
37194,United States,Jordan,432,Yes,GMLRS,Guided rocket,New,,2010,,2012 - 2013,288,Yes,,For HIMARS MRL; delivery probably 2012-2014
4625,United States,"Korea, South",48,Yes,LM-500,Gas turbine,New,,2005,Yes,2008 - 2013,24,Yes,,For 24 Gumdoksuri (PKX or PKG-A) FAC produced in South Korea
27148,United States,"Korea, South",60,Yes,F404,Turbofan,New,,2013,,2013 - 2013,8,Yes,Yes,For some 60 FA-50 combat aircraft produced in South Korea; incl production of components and final assembly in South Korea
35948,United States,"Korea, South",125,,AIM-120C AMRAAM,BVRAAM,New,,2008,Yes,2011 - 2013,63,Yes,,AIM-120C-7 version
13836,United States,"Korea, South",150,Yes,GBU-28,Guided bomb,New,,2011,,2013 - 2013,150,Yes,,KWR80 b ($71 m) deal
33607,United States,"Korea, South",150,,Paveway,Guided bomb,New,,2011,,2013 - 2013,150,Yes,,$71 m deal; GBU-28 Paveway-3 version
18104,United States,"Korea, South",62,Yes,Standard Missile-2MR,SAM,New,,2010,,2013 - 2013,62,Yes,,$67 m deal; SM-2 Block-3A and SM-2 Block-3B versions; for KDX-3 destroyers
15779,United States,"Korea, South",55,Yes,AIM-9X Sidewinder,SRAAM,New,,2012,,2012 - 2013,55,Yes,,
35952,United States,Kuwait,120,Yes,AIM-120C AMRAAM,BVRAAM,New,,2009,,2013 - 2013,25,Yes,,Possibly $178 m deal; AIM-120C-7 version
35752,United States,Kuwait,10,,Pegasus,Patrol craft,New,,2009,,2011 - 2013,10,Yes,,
36167,United States,Lebanon,1,,Cessna-208 Caravan,Light transport ac,Refurbished,Yes,2011,Yes,2013 - 2013,1,,,Second-hand Cessna-208B; modernized to AC-208 armed version before delivery; aid
31436,United States,Lebanon,200,,M-113,APC,SecondHand,,2012,,2013 - 2013,200,,,Ex-US; aid
30866,United States,Mexico,1000,Yes,SandCat,APV,New,,2012,Yes,2012 - 2013,116,Yes,Yes,DN-XI version; delivery 2012-2018
36552,United States,Mexico,4,Yes,AN/TPS-70,Air search radar,New,,2011,,2012 - 2013,4,Yes,,$119 m or $221 m deal; AN/TPS-78 and/or AN/TPS-703 version
35366,United States,Morocco,20,Yes,AGM-88 HARM,ARM,New,,2010,Yes,2013 - 2013,20,Yes,,
35950,United States,Morocco,30,Yes,AIM-120C AMRAAM,BVRAAM,New,,2009,Yes,2013 - 2013,10,Yes,,AIM-120C-7 version
35807,United States,Morocco,10,,JDAM,Guided bomb,New,,2012,,2013 - 2013,10,Yes,,LJDAM version
21520,United States,Netherlands,37,Yes,F-35A JSF,FGA aircraft,New,,2008,,2012 - 2013,2,,Yes,Incl production of components in Netherlands; selected but only 2 ordered 2009-2011 (for EUR209-270 m) for final test phase and contract for rest not yet signed by end-2013
34927,United States,Netherlands,6,,CH-47F Chinook,Helicopter,New,,2007,,2012 - 2013,6,Yes,,EUR400-500 m deal
9266,United States,Netherlands,12,,CAT-3508,Diesel engine,New,,2007,Yes,2011 - 2013,12,Yes,,For 2 Holland OPV produced in Netherlands and 2 from Romania
31445,United States,Netherlands,603,Yes,GBU-39 SDB,Guided bomb,New,,2010,,2012 - 2013,603,Yes,,$44 m deal
36171,United States,Niger,2,,Cessna-208 Caravan,Light transport ac,New,,2013,Yes,2013 - 2013,2,,,Part of $11 m aid
4752,United States,Norway,12,,ST-18,Gas turbine,New,,1999,Yes,2010 - 2013,12,Yes,,For 6 Skjold FAC produced in Norway
32325,United States,Norway,12,,ST-40,Gas turbine,New,,1999,Yes,2010 - 2013,12,Yes,,For 6 Skjold FAC produced in Norway
34224,United States,Oman,2,,C-130J Hercules,Transport aircraft,New,,2010,,2013 - 2013,1,,,Delivery 2013-2014
37776,United States,Pakistan,1,Yes,King Air,Light transport ac,SecondHand,,2013,Yes,2013 - 2013,1,,,Second-hand; King Air-350i version
35937,United States,Pakistan,500,Yes,AIM-120C AMRAAM,BVRAAM,New,,2007,,2010 - 2013,314,Yes,,$265 m deal; AIM-120C-5 version; for F-16 combat aircraft
36118,United States,Pakistan,5,,DB-110,Aircraft recce system,New,,2011,,2013 - 2013,5,Yes,,Part of $72m deal; for F-16 combat aircraft
30963,United States,Pakistan,35,Yes,AN/APG-68,Combat ac radar,New,,2007,,2012 - 2013,25,Yes,,AN/APG-68(V)9 version; for 'Mid-Life Update' (MLU) modernization of 35 F-16A combat aircraft to F-16C (F-16AM or F-16MLU)
14964,United States,Paraguay,2,,Cessna-U206,Light aircraft,SecondHand,,2012,,2012 - 2013,2,Yes,,Second-hand; $1.1 m deal; Cessna-T206H version
19591,United States,"Philippines, the",25,Yes,HMMWV Up-Armoured,APV,SecondHand,,2013,,2013 - 2013,25,Yes,,Ex-US; M-1114 version; aid
8993,United States,"Philippines, the",1,,Hamilton,OPV,SecondHand,Yes,2011,Yes,2013 - 2013,1,,,Ex-US
17811,United States,Romania,31,Yes,6V-53,Diesel engine,New,,2007,,2007 - 2013,31,Yes,,For 31 Piranha-3 APC from Switzerland
9122,United States,Romania,14,Yes,AE-2100,Turboprop,New,,2006,Yes,2010 - 2013,14,Yes,,For 7 C-27J transport aircraft from Italy
35863,United States,Saudi Arabia,24,Yes,AH-64D Apache,Combat helicopter,New,,2011,Yes,2013 - 2013,10,Yes,,AH-64E version; incl for National Guard and Royal Guard
38063,United States,Saudi Arabia,13,,S-70/UH-60L,Helicopter,New,Yes,2010,,2012 - 2013,13,Yes,,Saudi UH-60A rebuilt to UH-60L
38082,United States,Saudi Arabia,12,,S-70/UH-60L,Helicopter,New,Yes,2011,,2013 - 2013,6,Yes,,Saudi UH-60A rebuilt to UH-60L
37306,United States,Saudi Arabia,25,,SR-22,Light aircraft,New,,2013,,2013 - 2013,25,,,Ordered via UK company (as part of GBP1.6 b deal); for training
